"","TIM_DAY","ITE_AUCTION_START_DATETIME","ITE_AUCTION_STOP_DATETIME","DEALER_TYPE_GROUP_DESC","OPERATION","TOTAL_AREA","COVERED_AREA","BEDROOMS","ROOMS","ITE_ITEM_ID","PROPERTY_TYPE","SIT_CURRENCY_ID","ITE_CURRENT_PRICE","PRECIO_LOCAL","ID Final","mes","tc_prom","geometry","dummy_dolar","precio_pesos","precio_dolares","pesosm2tot","dolaresm2tot","pesosm2_cub","dolaresm2_cub","fid","cod_ent","cod_loc","nombre","zona_venta","zona_alq","digitos_iguales","digitos_iguales_pesos","digitos_iguales_m2tot","borrar","ID FINAL","ID","desarrollo prioritario"
"1","2023-11-29T00:00:00Z","2022-08-11T10:07:08Z","2023-11-10T01:18:57Z","Inmobiliaria","Alquiler","48","46","1","2",NA,"Departamento","ARG","45000","45000","1302154907","2023-11","882.79","c(-58.5617392, -34.6051582)","FALSE","45000","50.97","937.5","1.06","978.26","1.11","18","1","6840010","Caseros","Caseros","Caseros","FALSE","FALSE","FALSE","FALSE",NA,NA,NA
"2","2023-12-31T00:00:00Z","2022-08-11T10:07:08Z","2023-11-10T01:18:57Z","Inmobiliaria","Alquiler","48","46","1","2",NA,"Departamento","ARG","45000","45000","1302154907","2023-12","965.59","c(-58.5617392, -34.6051582)","FALSE","45000","46.6","937.5","0.97","978.26","1.01","18","1","6840010","Caseros","Caseros","Caseros","FALSE","FALSE","FALSE","FALSE",NA,NA,NA
"3","2024-01-31T00:00:00Z","2022-08-11T00:00:00Z","2023-11-10T00:00:00Z","Inmobiliaria","Alquiler","48","46","1","2",NA,"Departamento","ARG","45000","45000","1302154907","2024-01","1153.54","c(-58.5617392, -34.6051582)","FALSE","45000","39.01","937.5","0.81","978.26","0.85","18","1","6840010","Caseros","Caseros","Caseros","FALSE","FALSE","FALSE","FALSE",NA,NA,NA
"4","2023-11-29T00:00:00Z","2023-08-09T16:17:53Z","2024-02-05T00:00:00Z","Inmobiliaria","Alquiler","37","34","1","2",NA,"Departamento","ARG","170000","170000","1764670679","2023-11","882.79","c(-58.5657817, -34.6099965)","FALSE","170000","192.57","4594.59","5.2","5000","5.66","18","1","6840010","Caseros","Caseros","Caseros","FALSE","FALSE","FALSE","FALSE",NA,NA,NA
"5","2023-12-13T00:00:00Z","2023-08-09T16:17:53Z","2024-02-05T00:00:00Z","Inmobiliaria","Alquiler","37","34","1","2",NA,"Departamento","ARG","180000","180000","1764670679","2023-12","965.59","c(-58.5657817, -34.6099965)","FALSE","180000","186.41","4864.86","5.04","5294.12","5.48","18","1","6840010","Caseros","Caseros","Caseros","FALSE","FALSE","FALSE","FALSE",NA,NA,NA
"6","2023-11-29T00:00:00Z","2023-09-18T16:30:02Z","2023-12-29T21:08:13Z","Inmobiliaria","Alquiler","42","40","1","2",NA,"Departamento","ARG","120000","120000","1777402927","2023-11","882.79","c(-58.5918204, -34.6005889)","FALSE","120000","135.93","2857.14","3.24","3000","3.4","19","3","6840010","Ciudad Jardín Lomas del Palomar","Ciudad Jardín Lomas del Palomar","Centro","FALSE","FALSE","FALSE","FALSE",NA,NA,NA
"7","2023-12-31T00:00:00Z","2023-09-18T16:30:02Z","2024-01-07T09:25:08Z","Inmobiliaria","Alquiler","42","40","1","2",NA,"Departamento","ARG","120000","120000","1777402927","2023-12","965.59","c(-58.5918204, -34.6005889)","FALSE","120000","124.28","2857.14","2.96","3000","3.11","19","3","6840010","Ciudad Jardín Lomas del Palomar","Ciudad Jardín Lomas del Palomar","Centro","FALSE","FALSE","FALSE","FALSE",NA,NA,NA
"8","2024-01-06T00:00:00Z","2023-09-18T00:00:00Z","2024-01-07T00:00:00Z","Inmobiliaria","Alquiler","42","40","1","2",NA,"Departamento","ARG","120000","120000","1777402927","2024-01","1153.54","c(-58.5918204, -34.6005889)","FALSE","120000","104.03","2857.14","2.48","3000","2.6","19","3","6840010","Ciudad Jardín Lomas del Palomar","Ciudad Jardín Lomas del Palomar","Centro","FALSE","FALSE","FALSE","FALSE",NA,NA,NA
"9","2023-11-29T00:00:00Z","2023-09-27T17:10:25Z","2023-12-26T00:00:00Z","Inmobiliaria","Alquiler","38","36","1","2",NA,"Departamento","ARG","170000","170000","1780574971","2023-11","882.79","c(-58.567538, -34.5948896)","FALSE","170000","192.57","4473.68","5.07","4722.22","5.35","18","1","6840010","Caseros","Caseros","Caseros","FALSE","FALSE","FALSE","FALSE",NA,NA,NA
"10","2023-12-04T00:00:00Z","2023-09-27T17:10:25Z","2023-12-26T00:00:00Z","Inmobiliaria","Alquiler","38","36","1","2",NA,"Departamento","ARG","170000","170000","1780574971","2023-12","965.59","c(-58.567538, -34.5948896)","FALSE","170000","176.06","4473.68","4.63","4722.22","4.89","18","1","6840010","Caseros","Caseros","Caseros","FALSE","FALSE","FALSE","FALSE",NA,NA,NA
"11","2023-11-29T00:00:00Z","2023-10-12T16:25:20Z","2024-01-10T00:00:00Z","Inmobiliaria","Alquiler","36","34","1","2",NA,"Departamento","ARG","150000","150000","1784436887","2023-11","882.79","c(-58.5852695, -34.5800146)","FALSE","150000","169.92","4166.67","4.72","4411.76","5","22","14","6840010","Villa Bosch","Villa Bosch","Centro","FALSE","FALSE","FALSE","FALSE",NA,NA,NA
"12","2023-12-31T00:00:00Z","2023-10-12T16:25:20Z","2024-01-10T00:00:00Z","Inmobiliaria","Alquiler","36","34","1","2",NA,"Departamento","ARG","150000","150000","1784436887","2023-12","965.59","c(-58.5852695, -34.5800146)","FALSE","150000","155.35","4166.67","4.32","4411.76","4.57","22","14","6840010","Villa Bosch","Villa Bosch","Centro","FALSE","FALSE","FALSE","FALSE",NA,NA,NA
"13","2024-01-08T00:00:00Z","2023-10-12T00:00:00Z","2024-01-10T00:00:00Z","Inmobiliaria","Alquiler","36","34","1","2",NA,"Departamento","ARG","150000","150000","1784436887","2024-01","1153.54","c(-58.5852695, -34.5800146)","FALSE","150000","130.03","4166.67","3.61","4411.76","3.82","22","14","6840010","Villa Bosch","Villa Bosch","Centro","FALSE","FALSE","FALSE","FALSE",NA,NA,NA
"14","2023-11-29T00:00:00Z","2023-10-24T15:24:42Z","2024-01-22T00:00:00Z","Inmobiliaria","Alquiler","25","25","1","0",NA,"Departamento","ARG","120000","120000","1786732139","2023-11","882.79","c(-58.6019014, -34.5635811)","FALSE","120000","135.93","4800","5.44","4800","5.44","26","7","6840010","Loma Hermosa","Norte","Norte","FALSE","FALSE","FALSE","FALSE",NA,NA,NA
"15","2023-12-14T00:00:00Z","2023-10-24T15:24:42Z","2024-01-22T00:00:00Z","Inmobiliaria","Alquiler","25","25","1","0",NA,"Departamento","ARG","120000","120000","1786732139","2023-12","965.59","c(-58.6019014, -34.5635811)","FALSE","120000","124.28","4800","4.97","4800","4.97","26","7","6840010","Loma Hermosa","Norte","Norte","FALSE","FALSE","FALSE","FALSE",NA,NA,NA
"16","2023-11-20T00:00:00Z","2023-11-07T15:13:59Z","2024-02-08T13:50:48Z","Inmobiliaria","Alquiler","35","30","1","2",NA,"Departamento","ARG","110000","110000","1789798835","2023-11","882.79","c(-58.5749956, -34.5983641)","FALSE","110000","124.6","3142.86","3.56","3666.67","4.15","18","1","6840010","Caseros","Caseros","Caseros","FALSE","FALSE","FALSE","FALSE",NA,NA,NA
"17","2024-01-31T00:00:00Z","2023-11-07T00:00:00Z","2024-02-25T00:00:00Z","Inmobiliaria","Alquiler","35","30","1","2",NA,"Departamento","ARG","160000","160000","1789798835","2024-01","1153.54","c(-58.5749956, -34.5983641)","FALSE","160000","138.7","4571.43","3.96","5333.33","4.62","18","1","6840010","Caseros","Caseros","Caseros","FALSE","FALSE","FALSE","FALSE",NA,NA,NA
"18","2024-02-20T00:00:00Z","2023-11-07 15:13:59","2024-02-28 1:46:29","Inmobiliaria","Alquiler","35","30","1","2",NA,"Departamento","ARG","160000","160000","1789798835","2024-02","1128.8","c(-58.5749956, -34.5983641)","FALSE","160000","141.74","4571.43","4.05","5333.33","4.72","18","1","6840010","Caseros","Caseros","Caseros","FALSE","FALSE","FALSE","FALSE",NA,NA,NA
"19","2023-11-29T00:00:00Z","2023-11-09T18:06:27Z","2024-02-20T00:00:00Z","Inmobiliaria","Alquiler","38","38","1","2",NA,"Departamento","ARG","150000","150000","1790427123","2023-11","882.79","c(-58.5645023, -34.6089835)","FALSE","150000","169.92","3947.37","4.47","3947.37","4.47","18","1","6840010","Caseros","Caseros","Caseros","FALSE","FALSE","FALSE","FALSE",NA,NA,NA
"20","2023-12-03T00:00:00Z","2023-11-09T18:06:27Z","2024-02-20T00:00:00Z","Inmobiliaria","Alquiler","38","38","1","2",NA,"Departamento","ARG","150000","150000","1790427123","2023-12","965.59","c(-58.5645023, -34.6089835)","FALSE","150000","155.35","3947.37","4.09","3947.37","4.09","18","1","6840010","Caseros","Caseros","Caseros","FALSE","FALSE","FALSE","FALSE",NA,NA,NA
"21","2023-11-29T00:00:00Z","2023-11-13T16:06:38Z","2024-02-11T00:00:00Z","Inmobiliaria","Alquiler","34","31","0","1",NA,"Departamento","ARG","180000","180000","1791114815","2023-11","882.79","c(-58.578777, -34.587841)","FALSE","180000","203.9","5294.12","6","5806.45","6.58","22","14","6840010","Villa Bosch","Villa Bosch","Centro","FALSE","FALSE","FALSE","FALSE",NA,NA,NA
"22","2023-12-14T00:00:00Z","2023-11-13T16:06:38Z","2024-02-11T00:00:00Z","Inmobiliaria","Alquiler","34","31","0","1",NA,"Departamento","ARG","180000","180000","1791114815","2023-12","965.59","c(-58.578777, -34.587841)","FALSE","180000","186.41","5294.12","5.48","5806.45","6.01","22","14","6840010","Villa Bosch","Villa Bosch","Centro","FALSE","FALSE","FALSE","FALSE",NA,NA,NA
"23","2023-11-29T00:00:00Z","2023-11-15T16:28:03Z","2024-02-13T00:00:00Z","Inmobiliaria","Alquiler","40","40","1","2",NA,"Departamento","ARG","144000","144000","1791755087","2023-11","882.79","c(-58.5327672, -34.6146638)","FALSE","144000","163.12","3600","4.08","3600","4.08","17","6","6840010","José Ingenieros","José Ingenieros","Sur","FALSE","FALSE","FALSE","FALSE",NA,NA,NA
"24","2023-12-11T00:00:00Z","2023-11-15T16:28:03Z","2024-02-13T14:20:53Z","Inmobiliaria","Alquiler","40","40","1","2",NA,"Departamento","ARG","164000","164000","1791755087","2023-12","965.59","c(-58.5327672, -34.6146638)","FALSE","164000","169.84","4100","4.25","4100","4.25","17","6","6840010","José Ingenieros","José Ingenieros","Sur","FALSE","FALSE","FALSE","FALSE",NA,NA,NA
"25","2024-03-30T00:00:00Z","2023-11-19 14:23:15","2024-05-19 05:25:37","Inmobiliaria","Alquiler","75","36","1","2",NA,"Departamento","ARG","250000","250000","1792517475","2024-03","1019.49","c(-58.5614138, -34.6022208)","FALSE","250000","245.22","3333.33","3.27","6944.44","6.81","18","01","06840010","Caseros","Caseros","Caseros","FALSE","FALSE","FALSE","FALSE",NA,NA,"DP"
"26","2024-04-15T00:00:00Z","2023-11-19 14:23:15","2024-05-19 05:25:37","Inmobiliaria","Alquiler","75","36","1","2",NA,"Departamento","ARG","250000","250000","1792517475","2024-04","1035.92","c(-58.5614138, -34.6022208)","FALSE","250000","241.33","3333.33","3.22","6944.44","6.7","18","01","06840010","Caseros","Caseros","Caseros","FALSE","FALSE","FALSE","FALSE",NA,NA,"DP"
